id,name,latitude,longitude,rating,numberOfReviews,priceRange,rawRanking,website,cuisine,dishes,features,phone,rankingString,locationString
8557182.0,Imperial Lounge,-1.32946,36.87334,2.5,2,"KESÂ 29,647 - KESÂ 148,236",2.832927942276001,,"Italian, Indian, Contemporary",,,+254 770 496613,"#795 of 1,048 places to eat in Nairobi",Nairobi
19049362.0,Lazeez,-1.475289,36.96201,5.0,1,,3.027514934539795,http://Www.fb.com/lazeezkenya,,,,+254 702 323594,#8 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
14095423.0,Java House,-1.33004,36.92415,5.0,1,"KESÂ 22,235 - KESÂ 222,354",3.02848744392395,http://www.javahouseafrica.com,Diner,,,+254 796 841537,#19 of 29 places to eat in Karen,"Karen, Nairobi"
15319108.0,Bean Plant coffee and more,-1.3327,36.924313,3.5,12,,3.028462648391724,http://www.facebook.com/beanplantkenya/,"Cafe, European",,"Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Wine and Beer, Table Service",+254 791 989342,"#627 of 1,048 places to eat in Nairobi",Nairobi
14140515.0,Java House Airport View,-1.33004,36.92415,3.0,9,"KESÂ 22,235 - KESÂ 222,354",2.9779114723205566,https://www.javahouseafrica.com/our-locations/,"Mexican, African, Cafe, Diner, Healthy",,,+254 746 622266,"#767 of 1,048 places to eat in Nairobi",Nairobi
23092811.0,Tamz Restaurant Launge & Bar,-1.371637,36.935894,3.0,2,"KESÂ 741 - KESÂ 4,447",2.964430809020996,,"American, African, Fast Food, Barbecue, Beer restaurants",,"Delivery, Takeout, Reservations, Outdoor Seating, Buffet, Private Dining, Seating, Parking Available, Free off-street parking, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Playgrounds",+254 720 446120,#2 of 3 places to eat in Syokimau,"Syokimau, Eastern Province"
1155827.0,Pampa at Savanah,-1.475602,36.960594,4.5,3,,3.0271220207214355,,,,,,"#639 of 1,048 places to eat in Nairobi",Nairobi
20259702.0,Secret Ingredients,-1.36421,36.912148,4.0,1,,3.015636920928955,https://secretingredientslimited.com/,,,,+254 720 800844,"#691 of 1,048 places to eat in Nairobi",Nairobi
10467675.0,Pride Lounge,-1.32271,36.92607,3.0,47,,3.027290105819702,http://www.kenya-airways.com/prepare-for-travel/manage-booking/kq-lounges/en,,,"Wheelchair Accessible, Seating, Serves Alcohol",+254 741 777270,"#636 of 1,048 places to eat in Nairobi",Nairobi
18157567.0,Sukim Restaurant,-1.33551,36.91807,4.0,1,,3.01450514793396,,,,,+254 722 866689,"#698 of 1,048 places to eat in Nairobi",Nairobi
23622337.0,Vyne's Delight,-1.475289,36.96201,5.0,1,,3.035149335861206,,"Chinese, American, Indian, African",,,+254 114 256459,#7 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
24093645.0,The Mancave Bar And Grill,-1.523668,36.94647,5.0,1,,3.0428152084350586,,African,,,+254 728 620639,#3 of 13 places to eat in Kitengela,"Kitengela, Rift Valley Province"
14139828.0,Java House,-1.33004,36.92415,3.5,8,"KESÂ 22,235 - KESÂ 222,354",3.0447511672973637,http://www.javahouseafrica.com/,Diner,,,+254 796 841537,"#547 of 1,048 places to eat in Nairobi",Nairobi
9560764.0,Pace Gardens,-1.524446,36.896385,4.5,6,"KESÂ 59,294 - KESÂ 103,765",3.076754093170166,http://www.pacegardenskenya.com,"Diner, African, Barbecue, Vegetarian Friendly",,"Outdoor Seating, Seating, Parking Available, Serves Alcohol, Full Bar, Digital Payments, Cash Only",+254 719 182029,#3 of 4 places to eat in Athi River,"Athi River, Eastern Province"
